fips,above_average_vax_rate
01001,FALSE
01003,TRUE
01005,FALSE
01007,FALSE
01009,FALSE
01011,TRUE
01013,FALSE
01015,TRUE
01017,FALSE
01019,FALSE
01021,FALSE
01023,TRUE
01025,TRUE
01027,FALSE
01029,FALSE
01031,FALSE
01033,TRUE
01035,FALSE
01037,FALSE
01039,FALSE
01041,FALSE
01043,FALSE
01045,TRUE
01047,TRUE
01049,FALSE
01051,FALSE
01053,FALSE
01055,FALSE
01057,FALSE
01059,TRUE
01061,FALSE
01063,TRUE
01065,TRUE
01067,FALSE
01069,FALSE
01071,TRUE
01073,TRUE
01075,FALSE
01077,TRUE
01079,TRUE
01081,FALSE
01083,FALSE
01085,TRUE
01087,FALSE
01089,TRUE
01091,TRUE
01093,FALSE
01095,TRUE
01097,TRUE
01099,FALSE
01101,TRUE
01103,FALSE
01105,TRUE
01107,TRUE
01109,FALSE
01111,FALSE
01113,FALSE
01115,FALSE
01117,FALSE
01119,TRUE
01121,FALSE
01123,FALSE
01125,FALSE
01127,TRUE
01129,TRUE
01131,TRUE
01133,FALSE
02013,TRUE
02016,TRUE
02050,TRUE
02060,TRUE
02068,TRUE
02070,TRUE
02090,TRUE
02100,TRUE
02105,TRUE
02122,FALSE
02130,TRUE
02150,TRUE
02164,TRUE
02170,FALSE
02180,TRUE
02185,FALSE
02188,TRUE
02290,TRUE
04001,TRUE
04003,TRUE
04005,TRUE
04007,TRUE
04009,TRUE
04011,FALSE
04012,FALSE
04013,TRUE
04015,FALSE
04017,TRUE
04019,TRUE
04021,TRUE
04023,TRUE
04025,FALSE
04027,TRUE
05001,TRUE
05003,TRUE
05005,FALSE
05007,TRUE
05009,FALSE
05011,TRUE
05013,FALSE
05015,FALSE
05017,TRUE
05019,FALSE
05021,FALSE
05023,FALSE
05025,TRUE
05027,FALSE
05029,TRUE
05031,FALSE
05033,FALSE
05035,FALSE
05037,TRUE
05039,TRUE
05041,TRUE
05043,FALSE
05045,FALSE
05047,FALSE
05049,FALSE
05051,FALSE
05053,FALSE
05055,FALSE
05057,FALSE
05059,FALSE
05061,TRUE
05063,FALSE
05065,FALSE
05067,FALSE
05069,FALSE
05071,TRUE
05073,FALSE
05075,FALSE
05077,FALSE
05079,FALSE
05081,FALSE
05083,FALSE
05085,FALSE
05087,FALSE
05089,FALSE
05091,FALSE
05093,FALSE
05095,TRUE
05097,FALSE
05099,FALSE
05101,FALSE
05103,TRUE
05105,TRUE
05107,TRUE
05109,FALSE
05111,FALSE
05113,FALSE
05115,TRUE
05117,FALSE
05119,TRUE
05121,FALSE
05123,TRUE
05125,FALSE
05127,TRUE
05129,FALSE
05131,TRUE
05133,FALSE
05135,FALSE
05137,FALSE
05139,TRUE
05141,FALSE
05143,TRUE
05145,FALSE
05147,TRUE
05149,FALSE
06001,TRUE
06005,TRUE
06007,TRUE
06009,TRUE
06011,TRUE
06013,TRUE
06015,FALSE
06017,TRUE
06019,TRUE
06021,TRUE
06023,TRUE
06025,TRUE
06029,TRUE
06031,FALSE
06033,TRUE
06035,FALSE
06037,TRUE
06039,TRUE
06041,TRUE
06045,TRUE
06047,TRUE
06053,TRUE
06055,TRUE
06057,TRUE
06059,TRUE
06061,TRUE
06065,TRUE
06067,TRUE
06069,TRUE
06071,TRUE
06073,TRUE
06077,TRUE
06079,TRUE
06081,TRUE
06083,TRUE
06085,TRUE
06087,TRUE
06089,TRUE
06093,TRUE
06095,TRUE
06097,TRUE
06099,TRUE
06101,TRUE
06103,FALSE
06107,TRUE
06109,TRUE
06111,TRUE
06113,TRUE
06115,TRUE
08001,TRUE
08003,TRUE
08005,TRUE
08007,TRUE
08011,FALSE
08013,TRUE
08015,TRUE
08019,FALSE
08021,FALSE
08025,FALSE
08027,FALSE
08029,FALSE
08033,FALSE
08035,TRUE
08037,TRUE
08039,FALSE
08041,TRUE
08043,FALSE
08045,TRUE
08047,TRUE
08049,TRUE
08051,TRUE
08055,TRUE
08059,TRUE
08061,FALSE
08063,FALSE
08065,TRUE
08067,TRUE
08069,TRUE
08075,FALSE
08077,FALSE
08081,FALSE
08083,TRUE
08085,FALSE
08087,FALSE
08089,FALSE
08091,TRUE
08093,FALSE
08095,TRUE
08097,TRUE
08099,FALSE
08101,TRUE
08103,FALSE
08105,TRUE
08107,TRUE
08109,FALSE
08111,TRUE
08113,TRUE
08115,TRUE
08117,TRUE
08119,FALSE
08121,FALSE
08123,TRUE
08125,FALSE
09001,TRUE
09003,TRUE
09005,TRUE
09007,TRUE
09009,TRUE
09011,TRUE
09013,TRUE
09015,TRUE
010001,TRUE
010003,TRUE
010005,TRUE
12001,TRUE
12003,FALSE
12005,TRUE
12007,FALSE
12009,TRUE
12011,TRUE
12013,FALSE
12015,TRUE
12017,TRUE
12019,TRUE
12021,TRUE
12023,FALSE
12027,FALSE
12029,FALSE
12031,TRUE
12033,TRUE
12035,TRUE
12037,FALSE
12039,TRUE
12041,FALSE
12043,FALSE
12045,TRUE
12047,FALSE
12049,FALSE
12051,TRUE
12053,TRUE
12055,TRUE
12057,TRUE
12059,FALSE
12061,TRUE
12063,FALSE
12065,TRUE
12067,FALSE
12069,TRUE
12071,TRUE
12073,TRUE
12075,FALSE
12077,FALSE
12079,FALSE
12081,TRUE
12083,TRUE
12085,TRUE
12086,TRUE
12087,TRUE
12089,TRUE
12091,TRUE
12093,FALSE
12095,TRUE
12097,TRUE
12099,TRUE
12101,TRUE
12103,TRUE
12105,TRUE
12107,FALSE
12109,TRUE
12111,TRUE
12113,TRUE
12115,TRUE
12117,TRUE
12119,TRUE
12121,FALSE
12123,FALSE
12125,FALSE
12127,TRUE
12129,FALSE
12131,TRUE
12133,FALSE
13001,FALSE
13003,FALSE
13007,FALSE
13009,FALSE
13011,FALSE
13015,FALSE
13017,FALSE
13021,FALSE
13023,FALSE
13025,FALSE
13027,FALSE
13029,FALSE
13031,FALSE
13033,TRUE
13035,FALSE
13037,FALSE
13039,FALSE
13043,FALSE
13045,FALSE
13047,FALSE
13049,FALSE
13051,FALSE
13053,TRUE
13055,FALSE
13057,FALSE
13059,FALSE
13061,FALSE
13063,FALSE
13065,FALSE
13067,FALSE
13069,FALSE
13071,FALSE
13073,FALSE
13075,FALSE
13077,FALSE
13079,FALSE
13081,FALSE
13083,FALSE
13085,FALSE
13087,FALSE
13089,FALSE
13091,FALSE
13093,FALSE
13097,FALSE
13101,FALSE
13103,FALSE
13105,FALSE
13107,FALSE
13111,FALSE
13113,FALSE
13117,FALSE
13121,FALSE
13123,FALSE
13125,FALSE
13127,TRUE
13131,FALSE
13133,FALSE
13135,FALSE
13137,FALSE
13139,FALSE
13141,FALSE
13143,FALSE
13145,FALSE
13147,FALSE
13151,FALSE
13153,FALSE
13155,FALSE
13157,FALSE
13159,FALSE
13161,FALSE
13163,FALSE
13165,FALSE
13167,FALSE
13169,FALSE
13171,FALSE
13173,FALSE
13175,FALSE
13179,TRUE
13181,FALSE
13183,FALSE
13185,FALSE
13189,FALSE
13191,FALSE
13197,FALSE
13199,FALSE
13201,FALSE
13205,FALSE
13209,FALSE
13211,FALSE
13213,FALSE
13215,FALSE
13217,FALSE
13221,FALSE
13223,FALSE
13225,FALSE
13227,FALSE
13229,FALSE
13231,FALSE
13235,FALSE
13237,FALSE
13239,FALSE
13241,FALSE
13243,FALSE
13245,FALSE
13247,FALSE
13251,FALSE
13253,FALSE
13255,FALSE
13257,FALSE
13259,FALSE
13261,FALSE
13263,FALSE
13265,FALSE
13267,FALSE
13269,FALSE
13271,FALSE
13273,FALSE
13275,FALSE
13277,FALSE
13279,FALSE
13281,FALSE
13283,FALSE
13287,FALSE
13289,FALSE
13291,FALSE
13293,FALSE
13295,FALSE
13297,FALSE
13299,FALSE
13301,FALSE
13303,FALSE
13305,FALSE
13307,FALSE
13309,FALSE
13311,FALSE
13313,FALSE
13315,FALSE
13319,FALSE
13321,FALSE
16001,TRUE
16003,FALSE
16005,TRUE
16007,FALSE
16009,TRUE
16011,FALSE
16013,TRUE
16015,FALSE
16017,FALSE
16019,TRUE
16021,FALSE
16023,FALSE
16025,FALSE
16027,FALSE
16029,FALSE
16031,FALSE
16033,FALSE
16035,FALSE
16037,FALSE
16039,TRUE
16041,FALSE
16043,FALSE
16045,FALSE
16047,FALSE
16049,FALSE
16051,FALSE
16053,FALSE
16055,FALSE
16057,TRUE
16059,FALSE
16061,TRUE
16063,FALSE
16065,TRUE
16067,FALSE
16069,TRUE
16071,FALSE
16073,FALSE
16075,FALSE
16077,TRUE
16079,FALSE
16081,TRUE
16083,FALSE
