fips,above_average_vax_rate
01001,Voted Republican and Below Average Vaccination Rate
01003,Voted Republican and Above Average Vaccination Rate
01005,Voted Republican and Below Average Vaccination Rate
01007,Voted Republican and Below Average Vaccination Rate
01009,Voted Republican and Below Average Vaccination Rate
01011,Voted Democrat and Above Average Vaccination Rate
01013,Voted Republican and Below Average Vaccination Rate
01015,Voted Republican and Above Average Vaccination Rate
01017,Voted Republican and Below Average Vaccination Rate
01019,Voted Republican and Below Average Vaccination Rate
01021,Voted Republican and Below Average Vaccination Rate
01023,Voted Republican and Above Average Vaccination Rate
01025,Voted Republican and Above Average Vaccination Rate
01027,Voted Republican and Below Average Vaccination Rate
01029,Voted Republican and Below Average Vaccination Rate
01031,Voted Republican and Below Average Vaccination Rate
01033,Voted Republican and Above Average Vaccination Rate
01035,Voted Republican and Below Average Vaccination Rate
01037,Voted Republican and Below Average Vaccination Rate
01039,Voted Republican and Below Average Vaccination Rate
01041,Voted Republican and Below Average Vaccination Rate
01043,Voted Republican and Below Average Vaccination Rate
01045,Voted Republican and Above Average Vaccination Rate
01047,Voted Democrat and Above Average Vaccination Rate
01049,Voted Republican and Below Average Vaccination Rate
01051,Voted Republican and Below Average Vaccination Rate
01053,Voted Republican and Below Average Vaccination Rate
01055,Voted Republican and Below Average Vaccination Rate
01057,Voted Republican and Below Average Vaccination Rate
01059,Voted Republican and Above Average Vaccination Rate
01061,Voted Republican and Below Average Vaccination Rate
01063,Voted Democrat and Above Average Vaccination Rate
01065,Voted Democrat and Above Average Vaccination Rate
01067,Voted Republican and Below Average Vaccination Rate
01069,Voted Republican and Below Average Vaccination Rate
01071,Voted Republican and Above Average Vaccination Rate
01073,Voted Democrat and Above Average Vaccination Rate
01075,Voted Republican and Below Average Vaccination Rate
01077,Voted Republican and Above Average Vaccination Rate
01079,Voted Republican and Above Average Vaccination Rate
01081,Voted Republican and Below Average Vaccination Rate
01083,Voted Republican and Below Average Vaccination Rate
01085,Voted Democrat and Above Average Vaccination Rate
01087,Voted Democrat and Below Average Vaccination Rate
01089,Voted Republican and Above Average Vaccination Rate
01091,Voted Democrat and Above Average Vaccination Rate
01093,Voted Republican and Below Average Vaccination Rate
01095,Voted Republican and Above Average Vaccination Rate
01097,Voted Republican and Above Average Vaccination Rate
01099,Voted Republican and Below Average Vaccination Rate
01101,Voted Democrat and Above Average Vaccination Rate
01103,Voted Republican and Below Average Vaccination Rate
01105,Voted Democrat and Above Average Vaccination Rate
01107,Voted Republican and Above Average Vaccination Rate
01109,Voted Republican and Below Average Vaccination Rate
01111,Voted Republican and Below Average Vaccination Rate
01113,Voted Democrat and Below Average Vaccination Rate
01115,Voted Republican and Below Average Vaccination Rate
01117,Voted Republican and Below Average Vaccination Rate
01119,Voted Democrat and Above Average Vaccination Rate
01121,Voted Republican and Below Average Vaccination Rate
01123,Voted Republican and Below Average Vaccination Rate
01125,Voted Republican and Below Average Vaccination Rate
01127,Voted Republican and Above Average Vaccination Rate
01129,Voted Republican and Above Average Vaccination Rate
01131,Voted Democrat and Above Average Vaccination Rate
01133,Voted Republican and Below Average Vaccination Rate
02013,Voted Republican and Above Average Vaccination Rate
02016,Voted Republican and Above Average Vaccination Rate
02050,Voted Republican and Above Average Vaccination Rate
02060,Voted Republican and Above Average Vaccination Rate
02068,Voted Republican and Above Average Vaccination Rate
02070,Voted Republican and Above Average Vaccination Rate
02090,Voted Republican and Above Average Vaccination Rate
02100,Voted Republican and Above Average Vaccination Rate
02105,Voted Republican and Above Average Vaccination Rate
02122,Voted Republican and Below Average Vaccination Rate
02130,Voted Republican and Above Average Vaccination Rate
02150,Voted Republican and Above Average Vaccination Rate
02164,Voted Republican and Above Average Vaccination Rate
02170,Voted Republican and Below Average Vaccination Rate
02180,Voted Republican and Above Average Vaccination Rate
02185,Voted Republican and Below Average Vaccination Rate
02188,Voted Republican and Above Average Vaccination Rate
02290,Voted Republican and Above Average Vaccination Rate
04001,Voted Democrat and Above Average Vaccination Rate
04003,Voted Republican and Above Average Vaccination Rate
04005,Voted Democrat and Above Average Vaccination Rate
04007,Voted Republican and Above Average Vaccination Rate
04009,Voted Republican and Above Average Vaccination Rate
04011,Voted Republican and Below Average Vaccination Rate
04012,Voted Republican and Below Average Vaccination Rate
04013,Voted Democrat and Above Average Vaccination Rate
04015,Voted Republican and Below Average Vaccination Rate
04017,Voted Republican and Above Average Vaccination Rate
04019,Voted Democrat and Above Average Vaccination Rate
04021,Voted Republican and Above Average Vaccination Rate
04023,Voted Democrat and Above Average Vaccination Rate
04025,Voted Republican and Below Average Vaccination Rate
04027,Voted Republican and Above Average Vaccination Rate
05001,Voted Republican and Above Average Vaccination Rate
05003,Voted Republican and Above Average Vaccination Rate
05005,Voted Republican and Below Average Vaccination Rate
05007,Voted Republican and Above Average Vaccination Rate
05009,Voted Republican and Below Average Vaccination Rate
05011,Voted Republican and Above Average Vaccination Rate
05013,Voted Republican and Below Average Vaccination Rate
05015,Voted Republican and Below Average Vaccination Rate
05017,Voted Democrat and Above Average Vaccination Rate
05019,Voted Republican and Below Average Vaccination Rate
05021,Voted Republican and Below Average Vaccination Rate
05023,Voted Republican and Below Average Vaccination Rate
05025,Voted Republican and Above Average Vaccination Rate
05027,Voted Republican and Below Average Vaccination Rate
05029,Voted Republican and Above Average Vaccination Rate
05031,Voted Republican and Below Average Vaccination Rate
05033,Voted Republican and Below Average Vaccination Rate
05035,Voted Democrat and Below Average Vaccination Rate
05037,Voted Republican and Above Average Vaccination Rate
05039,Voted Republican and Above Average Vaccination Rate
05041,Voted Democrat and Above Average Vaccination Rate
05043,Voted Republican and Below Average Vaccination Rate
05045,Voted Republican and Below Average Vaccination Rate
05047,Voted Republican and Below Average Vaccination Rate
05049,Voted Republican and Below Average Vaccination Rate
05051,Voted Republican and Below Average Vaccination Rate
05053,Voted Republican and Below Average Vaccination Rate
05055,Voted Republican and Below Average Vaccination Rate
05057,Voted Republican and Below Average Vaccination Rate
05059,Voted Republican and Below Average Vaccination Rate
05061,Voted Republican and Above Average Vaccination Rate
05063,Voted Republican and Below Average Vaccination Rate
05065,Voted Republican and Below Average Vaccination Rate
05067,Voted Republican and Below Average Vaccination Rate
05069,Voted Democrat and Below Average Vaccination Rate
05071,Voted Republican and Above Average Vaccination Rate
05073,Voted Republican and Below Average Vaccination Rate
05075,Voted Republican and Below Average Vaccination Rate
05077,Voted Democrat and Below Average Vaccination Rate
