fips,poverty_rate
01001,15.6
01003,12.1
01005,10.1
01007,27.1
01009,20.3
01011,16.3
01013,30
01015,21.6
01017,17.2
01019,19.6
01021,15.9
01023,16
01025,22.6
01027,18.4
01029,16.6
01031,13.3
01033,15
01035,14.6
01037,22.2
01039,17.1
01041,17.2
01043,16.8
01045,12.2
01047,18.1
01049,26
01051,18.2
01053,11.4
01055,20.5
01057,18.8
01059,17
01061,16.1
01063,16.1
01065,31.7
01067,20.5
01069,17.2
01071,19.4
01073,14.7
01075,16.2
01077,15.3
01079,15.7
01081,17.7
01083,15.5
01085,12
01087,26.6
01089,29.3
01091,11.5
01093,24.8
01095,16.9
01097,15.7
01099,17.7
01101,23.3
01103,15.8
01105,13.7
01107,33.9
01109,24.3
01111,21.8
01113,17.5
01115,18.9
01117,11.2
01119,6.2
01121,36.4
01123,17.4
01125,16
01127,16.2
01129,17.3
01131,18.6
01133,32.5
02013,10.2
02016,14.8
02050,9.5
02060,23.5
02068,9.8
02070,6.6
02090,18.1
02100,7.2
02105,9.8
02122,6.3
02130,10.4
02150,9.4
02164,26.8
02170,17.4
02180,9.6
02185,20.7
02188,11.4
02290,14.7
04001,13.5
04003,33.4
04005,16.6
04007,15.9
04009,21.1
04011,20.1
04012,9.3
04013,22.1
04015,12.2
04017,16
04019,25.2
04021,14
04023,12.1
04025,18.8
04027,12
05001,16
05003,15.8
05005,18.5
05007,12.7
05009,8.9
05011,15.1
05013,22.9
05015,15.4
05017,14.7
05019,31
05021,20.6
05023,18.7
05025,14.1
05027,13.7
05029,21.2
05031,15.6
05033,16.9
05035,18.3
05037,22.4
05039,17.8
05041,18.8
05043,25.4
05045,18.5
05047,14.4
05049,16.2
05051,17.7
05053,16.9
05055,12.1
05057,15.5
05059,18.5
05061,20.2
05063,16.8
05065,15.9
05067,15.9
05069,22.9
05071,24.4
05073,17.5
05075,25.5
05077,18.4
05079,35.4
05081,27.1
05083,17.8
05085,17.4
05087,10.7
05089,16.4
05091,16.3
05093,14.1
05095,23
05097,25.5
05099,19.9
05101,24.1
05103,18.1
05105,17.3
05107,16.5
05109,33.3
05111,16.9
05113,23.1
05115,20.2
05117,16.9
05119,15
05121,14.6
05123,17.3
05125,32
05127,9.6
05129,19.6
05131,22.4
05133,15.9
05135,17.7
05137,23.3
05139,19.3
05141,18.9
05143,19.9
05145,15.1
05147,15.4
05149,27.1
06001,11.8
06005,17.2
06007,9.8
06009,16.1
06011,12.1
06013,12
06015,7.9
06017,17.9
06019,8.7
06021,20.5
06023,12.1
06025,19.1
06029,11.7
06031,19
06033,16
06035,18.3
06037,16.5
06039,13.4
06041,17.6
06045,15.1
06047,14
06053,10.1
06055,12.6
06057,7.4
06059,9.4
06061,9.5
06065,13.2
06067,11.3
06069,12.6
06071,10.4
06073,13.3
06077,9.5
06079,13.6
06081,11.6
06083,6.1
06085,12
06087,6.1
06089,10.6
06093,12.7
06095,17.4
06097,9
06099,7.2
06101,13
06103,12.8
06107,16.5
06109,18.9
06111,11.3
06113,8.2
06115,16.9
08001,9.4
08003,9.3
08005,19.6
08007,7.2
08011,19.3
08013,34.4
08015,4.1
08019,13.7
08021,7.4
08025,24.6
08027,40
08029,11.8
08033,12.1
08035,12.8
08037,2.7
08039,7.9
08041,5.7
08043,8.8
08045,16.1
08047,9.6
08049,6.8
08051,8.1
08055,8.9
08059,12.6
08061,7.2
08063,13.5
08065,13.2
08067,11.4
08069,11.3
08075,17
08077,12.9
08081,9.4
08083,12.2
08085,14.9
08087,13.2
08089,11.9
08091,24.2
08093,6.9
08095,8.6
08097,10.4
08099,6.2
08101,18.2
08103,17.8
08105,10.3
08107,14.4
08109,7.2
08111,25.4
08113,13.7
08115,9.9
08117,14.6
08119,6.4
08121,7.9
08123,11.8
08125,8.4
09001,9.9
09003,9
09005,10.8
09007,7.1
09009,7
09011,12
09013,7.8
09015,7.8
010001,11.2
010003,12.7
010005,10.4
12001,12.7
12003,18.4
12005,14.9
12007,12.1
12009,21
12011,9.4
12013,12.3
12015,20.3
12017,11.4
12019,15.2
12021,8.3
12023,9.4
12027,15.6
12029,21.8
12031,22.2
12033,13.5
12035,15.5
12037,9.7
12039,19.2
12041,19.7
12043,15
12045,19.3
12047,14
12049,32.5
12051,22.1
12053,19.5
12055,12.4
12057,15.8
12059,13.5
12061,20.1
12063,11.5
12065,19.4
12067,17.6
12069,18
12071,10.9
12073,11.2
12075,20.8
12077,18.2
12079,23
12081,22.7
12083,11.3
12085,14.9
12086,8.9
12087,15.7
12089,9.9
12091,9
12093,10.6
12095,18.4
12097,12.6
12099,13.4
12101,11.4
12103,11.3
12105,11.4
12107,14
12109,22.4
12111,6.4
12113,10.5
12115,9.8
12117,7.8
12119,9.3
12121,8.9
12123,17.1
12125,19.9
12127,19.9
12129,13.1
12131,12
12133,10.8
13001,13.5
13003,20.9
13007,19.2
13009,24.8
13011,22.9
13015,9.7
13017,12.5
13021,20.1
13023,23.2
13025,18.5
13027,16.1
13029,21.9
13031,7.8
13033,21.9
13035,23.6
13037,14.7
13039,35.9
13043,13.8
13045,23.1
13047,14.9
13049,10
13051,25.9
13053,14.8
13055,18.5
13057,17.4
13059,6.5
13061,25.7
13063,28.8
13065,16
13067,22
13069,8.3
13071,20.2
13073,21.9
13075,5.6
13077,21.4
13079,9
13081,15.3
13083,26.7
13085,13.5
13087,8.8
13089,23.4
13091,12.9
13093,20.6
13097,27.6
13101,27.3
13103,21.6
13105,9.1
13107,20.6
13111,24.1
13113,12.1
13117,16.4
13121,17.3
13123,13.8
13125,14.6
13127,16.9
13131,12.3
13133,21.7
13135,15
13137,9.2
13139,15.2
13141,13.5
13143,31.2
13145,14.4
13147,6.5
13151,16.7
13153,8.1
13155,11
13157,20.5
13159,10.3
13161,12.4
13163,21.2
13165,25.1
13167,29
13169,24.2
13171,12.8
13173,14.8
13175,18.5
13179,9.3
13181,14.5
13183,17.3
13185,14.2
13189,14.5
13191,18
13197,15.6
13199,21.1
13201,22.2
13205,21.3
13209,10.6
13211,19.4
13213,11.1
13215,14.5
13217,18.4
13221,5.6
13223,12.8
13225,6.8
13227,19.8
13229,10.3
13231,16.4
13235,16.2
13237,20.7
13239,15.1
13241,22.8
13243,13
13245,25.3
13247,21.7
13251,15.9
13253,24.1
13255,22.6
13257,17.7
13259,15
13261,34.7
13263,26.7
13265,19.6
13267,22.5
13269,26.5
13271,22.9
13273,27.7
13275,28.2
13277,18
13279,21.5
13281,19.2
13283,12.7
13287,19.2
13289,28
