fips,above_average_vax_rate
01001,53.1
01003,66.4
01005,56.5
01007,45
01009,41.2
01011,63.8
01013,53.9
01015,59.9
01017,39.8
01019,40.1
01021,47.5
01023,85.3
01025,68.3
01027,55.6
01029,41.4
01031,51.2
01033,60.9
01035,59
01037,49.3
01039,51.3
01041,46.1
01043,50.2
01045,66.9
01047,62.1
01049,45.3
01051,58.3
01053,51
01055,53.2
01057,43.4
01059,59.7
01061,50.5
01063,68.2
01065,76.8
01067,58.4
01069,55.5
01071,62.3
01073,74.9
01075,54.7
01077,60.2
01079,60.4
01081,47.5
01083,45.5
01085,66.3
01087,58.6
01089,74.7
01091,72.8
01093,46.3
01095,60.8
01097,63.3
01099,58.8
01101,69
01103,55.9
01105,60.7
01107,62.1
01109,51.1
01111,44.3
01113,52.8
01115,51.2
01117,47.1
01119,66.2
01121,47.7
01123,49.4
01125,54.4
01127,61.9
01129,61.4
01131,71.4
01133,28.9
02013,77.1
02016,70.9
02050,83.2
02060,99.9
02068,61.7
02070,62.3
02090,66.6
02100,76.8
02105,77.9
02122,55.5
02130,72.8
02150,76
02164,72.9
02170,46.2
02180,84.4
02185,44.3
02188,73.9
02290,82.4
04001,96.2
04003,73.5
04005,87.9
04007,70.4
04009,77.5
04011,56.1
04012,55.4
04013,68.6
04015,50.6
04017,84
04019,78.2
04021,62.3
04023,99.9
04025,57.1
04027,80
05001,69.2
05003,62
05005,56.6
05007,64.9
05009,47.3
05011,71
05013,42.4
05015,56
05017,68.7
05019,57.5
05021,55.3
05023,53.2
05025,63.9
05027,57.9
05029,64.6
05031,56.6
05033,57.1
05035,56.4
05037,64.5
05039,66.9
05041,75.7
05043,58.5
05045,58.2
05047,59
05049,39.1
05051,55.4
05053,56.4
05055,54
05057,47
05059,51.1
05061,69.2
05063,50.2
05065,44.1
05067,46.6
05069,55.7
05071,62.2
05073,47.5
05075,58
05077,41.8
05079,40.6
05081,39.5
05083,56.6
05085,59.4
05087,54.1
05089,44.5
05091,20.3
05093,52.2
05095,69.8
05097,44.8
05099,56.4
05101,42.6
05103,65.3
05105,64
05107,63.2
05109,55.7
05111,57.2
05113,45.9
05115,60.2
05117,55
05119,69.1
05121,52.7
05123,61.5
05125,59.3
05127,60.2
05129,48.2
05131,61.2
05133,56.7
05135,48.4
05137,44.3
05139,63.8
05141,51.1
05143,66.7
05145,56
05147,70
05149,57.8
06001,90.5
06005,76.1
06007,62.3
06009,83.6
06011,74.8
06013,89.4
06015,50.8
06017,71.6
06019,75.7
06021,67.2
06023,74.3
06025,99.9
06029,64.9
06031,57.6
06033,70.9
06035,42.3
06037,81.5
06039,67.3
06041,96.6
06045,80.1
06047,72.8
06053,84.8
06055,88.6
06057,71.8
06059,82.5
06061,76.3
06065,69.8
06067,77.1
06069,76.2
06071,68.7
06073,99.9
06077,87.3
06079,68.4
06081,93
06083,82
06085,95.6
06087,87.4
06089,61.5
06093,64.6
06095,81.5
06097,87.6
06099,88.3
06101,73.3
06103,50.7
06107,66.8
06109,76.3
06111,83.4
06113,78.2
06115,67.1
08001,77.3
08003,65.6
08005,74.4
08007,65.7
08011,27
08013,83.5
08015,69.5
08019,52.3
08021,56.1
08025,22
08027,52
08029,55.4
08033,49.2
08035,81.9
08037,92.4
08039,41.8
08041,73.2
08043,49.3
08045,74.7
08047,63.6
08049,72.4
08051,75.6
08055,60.1
08059,85
08061,44.8
08063,46.4
08065,68.5
08067,78.6
08069,74.6
08075,41.8
08077,57.5
08081,53.1
08083,75
08085,56.5
08087,57.5
08089,56.2
08091,70.5
08093,51.2
08095,65.1
08097,97.9
08099,51.7
08101,64.3
08103,48.4
08105,71.7
08107,82.9
08109,40.3
08111,99.9
08113,91.8
08115,60.2
08117,94.1
08119,58.4
08121,36.8
08123,70
08125,55.7
09001,94.6
09003,86.1
09005,85
09007,92.4
09009,88.2
09011,88.5
